,Title,Published_date,Views,Likes,Favorite,Comments,Month
0,How to Use ChatGPT as a Powerful Tool for Programming,21-05-2023,270729,7564,0,436,May
1,Python Tutorial: Simulate the Powerball Lottery Using Python,09-01-2023,136408,4257,0,772,Jan
2,Python YouTube API Tutorial: Using OAuth to Access User Accounts,10-09-2020,138854,2661,0,351,Sep
3,Python YouTube API Tutorial: Sort a Playlist by Most Popular Videos,31-07-2020,45716,1099,0,129,Jul
4,Python YouTube API Tutorial: Calculating the Duration of a Playlist,10-06-2020,55877,1598,0,177,Jun
5,Python YouTube API Tutorial: Getting Started - Creating an API Key and Querying the API,29-05-2020,199283,5634,0,329,May
6,Python Tutorial: Real World Example - Using Patreon API and Pillow to Automate Image Creation,11-05-2020,39437,924,0,87,May
7,"Python Pandas Tutorial (Part 11): Reading/Writing Data to Different Sources - Excel, JSON, SQL, Etc",01-04-2020,163366,4284,0,316,Apr
8,"Live Stream - Chat, Q&A, Brews, and Coding",23-03-2020,75957,2888,0,261,Mar
9,Python Pandas Tutorial (Part 10): Working with Dates and Time Series Data,17-03-2020,289372,7161,0,374,Mar
10,Python Pandas Tutorial (Part 9): Cleaning Data - Casting Datatypes and Handling Missing Values,24-02-2020,211193,5427,0,172,Feb
11,Python Pandas Tutorial (Part 8): Grouping and Aggregating - Analyzing and Exploring Your Data,14-02-2020,390170,9191,0,667,Feb
12,Python Pandas Tutorial (Part 7): Sorting Data,06-02-2020,166200,4992,0,174,Feb
13,Python Pandas Tutorial (Part 6): Add/Remove Rows and Columns From DataFrames,01-02-2020,256105,5726,0,220,Feb
14,Python Pandas Tutorial (Part 5): Updating Rows and Columns - Modifying Data Within DataFrames,24-01-2020,360430,8354,0,324,Jan
15,Python Pandas Tutorial (Part 4): Filtering - Using Conditionals to Filter Rows and Columns,17-01-2020,404898,9842,0,296,Jan
16,"Python Pandas Tutorial (Part 3): Indexes - How to Set, Reset, and Use Indexes",13-01-2020,359268,8928,0,191,Jan
17,Python Pandas Tutorial (Part 2): DataFrame and Series Basics - Selecting Rows and Columns,10-01-2020,575039,13473,0,355,Jan
18,Python Pandas Tutorial (Part 1): Getting Started with Data Analysis - Installation and Loading Data,09-01-2020,1226772,19472,0,544,Jan
19,Python Tutorial: Zip Files - Creating and Extracting Zip Archives,19-11-2019,116510,1888,0,118,Nov
20,Python Data Science Tutorial: Analyzing the 2019 Stack Overflow Developer Survey,17-10-2019,59050,1525,0,145,Oct
21,Python Multiprocessing Tutorial: Run Code in Parallel Using the Multiprocessing Module,20-09-2019,741423,20119,0,915,Sep
22,Python Threading Tutorial: Run Code Concurrently Using the Threading Module,12-09-2019,786705,20068,0,718,Sep
23,"Python Quick Tip: The Difference Between ""=="" and ""is"" (Equality vs Identity)",06-08-2019,113289,4045,0,211,Aug
24,Python Tutorial: Calling External Commands Using the Subprocess Module,24-07-2019,348330,8535,0,376,Jul
25,Matplotlib Tutorial (Part 10): Subplots,19-06-2019,225538,5077,0,273,Jun
26,Matplotlib Tutorial (Part 9): Plotting Live Data in Real-Time,18-06-2019,377543,6805,0,345,Jun
27,Matplotlib Tutorial (Part 8): Plotting Time Series Data,17-06-2019,172263,3207,0,87,Jun
28,Matplotlib Tutorial (Part 7): Scatter Plots,16-06-2019,163515,3631,0,115,Jun
29,Matplotlib Tutorial (Part 6): Histograms,15-06-2019,170689,3689,0,108,Jun
30,Matplotlib Tutorial (Part 5): Filling Area on Line Plots,14-06-2019,93983,2550,0,94,Jun
31,Matplotlib Tutorial (Part 4): Stack Plots,13-06-2019,99984,2516,0,75,Jun
32,Matplotlib Tutorial (Part 3): Pie Charts,12-06-2019,142861,3456,0,93,Jun
33,Matplotlib Tutorial (Part 2): Bar Charts and Analyzing Data from CSVs,11-06-2019,316597,6331,0,339,Jun
34,Matplotlib Tutorial (Part 1): Creating and Customizing Our First Plots,10-06-2019,941647,17360,0,566,Jun
35,Visual Studio Code (Windows) - Setting up a Python Development Environment and Complete Overview,01-05-2019,697710,11241,0,493,May
36,Visual Studio Code (Mac) - Setting up a Python Development Environment and Complete Overview,01-05-2019,265849,4581,0,262,May
37,Python Tutorial: Clarifying the Issues with Mutable Default Arguments,24-04-2019,34033,1335,0,87,Apr
38,5 Common Python Mistakes and How to Fix Them,22-04-2019,281209,7533,0,215,Apr
39,How I Setup a New Development Machine - Using Scripts to Automate Installs and Save Time,15-04-2019,56318,1275,0,68,Apr
40,How to Write Python Scripts to Analyze JSON APIs and Sort Results,09-04-2019,155742,3419,0,150,Apr
41,Homebrew Tutorial: Simplify Software Installation on Mac Using This Package Manager,09-04-2019,190155,3598,0,142,Apr
42,Python Tutorial: VENV (Windows) - How to Use Virtual Environments with the Built-In venv Module,02-04-2019,529198,11581,0,522,Apr
43,Python Tutorial: VENV (Mac & Linux) - How to Use Virtual Environments with the Built-In venv Module,02-04-2019,260824,7428,0,229,Apr
44,10 Python Tips and Tricks For Writing Better Code,25-03-2019,1366693,40024,0,994,Mar
45,"How to Send Emails Using Python - Plain Text, Adding Attachments, HTML Emails, and More",18-03-2019,449095,9701,0,727,Mar
46,Python Tutorial: Web Scraping with Requests-HTML,11-03-2019,185598,3425,0,203,Mar
47,"Python Tutorial: Write a Script to Monitor a Website, Send Alert Emails, and Reboot Servers",04-03-2019,153120,2928,0,103,Mar
48,"Python Requests Tutorial: Request Web Pages, Download Images, POST Data, Read JSON, and More",26-02-2019,951909,18635,0,503,Feb
49,Python Django Tutorial: Deploying Your Application (Option #2) - Deploy using Heroku,19-02-2019,278317,4778,0,669,Feb
50,Python Django Tutorial: Full-Featured Web App Part 13 - Using AWS S3 for File Uploads,18-02-2019,152595,2456,0,468,Feb
51,Python Django Tutorial: How to enable HTTPS with a free SSL/TLS Certificate using Let's Encrypt,24-01-2019,139871,2286,0,203,Jan
52,Python Flask Tutorial: How to enable HTTPS with a free SSL/TLS Certificate using Let's Encrypt,24-01-2019,127122,2150,0,160,Jan
53,Python Django Tutorial: How to Use a Custom Domain Name for Our Application,17-01-2019,125829,1872,0,95,Jan
54,Python Flask Tutorial: How to Use a Custom Domain Name for Our Application,17-01-2019,103519,1695,0,80,Jan
55,Python Flask Tutorial: Deploying Your Application (Option #1) - Deploy to a Linux Server,20-12-2018,333084,5568,0,653,Dec
56,Python Django Tutorial: Deploying Your Application (Option #1) - Deploy to a Linux Server,13-12-2018,407843,6330,0,851,Dec
57,Python Tutorial: Itertools Module - Iterator Functions for Efficient Looping,13-11-2018,217370,5810,0,232,Nov
58,Python Coding Problem: Creating Your Own Iterators,24-10-2018,63438,2710,0,223,Oct
59,Python Tutorial: Iterators and Iterables - What Are They and How Do They Work?,24-10-2018,359472,10788,0,314,Oct
60,Python Tutorial: Pipenv - Easily Manage Packages and Virtual Environments,17-10-2018,232383,5552,0,284,Oct
61,Python Django Tutorial: Full-Featured Web App Part 12 - Email and Password Reset,31-08-2018,214681,5227,0,1146,Aug
62,Python Django Tutorial: Full-Featured Web App Part 11 - Pagination,31-08-2018,216239,5556,0,527,Aug
63,"Python Django Tutorial: Full-Featured Web App Part 10 - Create, Update, and Delete Posts",31-08-2018,349743,7554,0,764,Aug
64,Python Django Tutorial: Full-Featured Web App Part 9 - Update User Profile,31-08-2018,274310,7029,0,659,Aug
65,Python Django Tutorial: Full-Featured Web App Part 8 - User Profile and Picture,31-08-2018,407867,9323,0,1115,Aug
66,Python Django Tutorial: Full-Featured Web App Part 7 - Login and Logout System,31-08-2018,453002,10515,0,526,Aug
67,Python Django Tutorial: Full-Featured Web App Part 6 - User Registration,31-08-2018,604110,12807,0,1232,Aug
68,Python Django Tutorial: Full-Featured Web App Part 5 - Database and Migrations,31-08-2018,639766,14980,0,920,Aug
69,Python Django Tutorial: Full-Featured Web App Part 4 - Admin Page,31-08-2018,404341,12087,0,316,Aug
70,Python Django Tutorial: Full-Featured Web App Part 3 - Templates,31-08-2018,852564,20234,0,1444,Aug
71,Python Django Tutorial: Full-Featured Web App Part 2 - Applications and Routes,31-08-2018,808022,20943,0,816,Aug
72,Python Django Tutorial: Full-Featured Web App Part 1 - Getting Started,31-08-2018,2093685,30753,0,1040,Aug
73,Best Sublime Text Features and Shortcuts (Windows),09-08-2018,30633,755,0,49,Aug
74,Best Sublime Text Features and Shortcuts (Mac),09-08-2018,23308,460,0,25,Aug
75,Python Tutorial: How to Set the Path and Switch Between Different Versions/Executables (Windows),26-07-2018,186850,3399,0,138,Jul
76,Python Tutorial: How to Set the Path and Switch Between Different Versions/Executables (Mac & Linux),26-07-2018,169811,3082,0,160,Jul
77,Python Quick Tip: F-Strings - How to Use Them and Advanced String Formatting,12-07-2018,189973,6619,0,218,Jul
78,"Big Announcements, Video Updates, and Future Plans",26-06-2018,62601,6222,0,785,Jun
79,Python Tutorial: Sets - Set Methods and Operations to Solve Common Problems,20-06-2018,132659,4194,0,174,Jun
80,Python Flask Tutorial: Full-Featured Web App Part 12 - Custom Error Pages,04-05-2018,104173,2858,0,262,May
